"time","pointMass.r_0[1]","pointMass.r_0[2]","pointMass.r_0[3]"
0,0.3346407517547786,0.1932049281074398,0.5604660592937206
0.002,0.3346404693525988,0.1932048979534197,0.5604662383038944
0.004,0.3346396224226725,0.1932048076103216,0.5604667751270421
0.006,0.3346382115440145,0.1932046574218792,0.5604676692953433
0.008,0.3346362367565924,0.193204447412649,0.5604689207704523
0.01,0.3346336988330983,0.1932041781343176,0.5604705288924289
0.012,0.3346305976254904,0.1932038494821072,0.5604724937749749
0.014,0.3346269352862795,0.1932034633183623,0.560474813477768
0.016,0.3346227116161743,0.1932030194733323,0.560477488162783
0.018,0.3346179263658176,0.1932025177344488,0.560480518034255
0.02,0.3346125795269945,0.1932019580969687,0.5604839030784243
0.022,0.3346066738065974,0.1932013432331962,0.5604876407354675
0.024,0.3346002086255244,0.1932006725763486,0.5604917315215621
0.026,0.3345931832953339,0.1931999454522503,0.5604961760527712
0.028,0.3345855981848951,0.1931991622556411,0.5605009739431421
0.03,0.3345774590840596,0.1931983290985989,0.5605061195978156
0.032,0.3345687625104644,0.1931974423152444,0.5605116163250328
0.034,0.3345595084493281,0.1931965018970416,0.5605174641000289
0.036,0.3345496990719206,0.1931955103053559,0.560523660739649
0.038,0.3345393375407627,0.1931944711217288,0.5605302030809933
0.04,0.3345284212375981,0.1931933813982002,0.5605370936596847
0.042,0.3345169501439975,0.1931922411241266,0.5605443324448408
0.044,0.3345049292563565,0.193191056231879,0.5605519143624856
0.046,0.3344923584417852,0.1931898265761695,0.5605598394924119
0.048,0.3344792360336947,0.193188550194903,0.5605681094533868
0.05,0.3344655620751928,0.1931872271564816,0.5605767241417999
0.052,0.3344513425363405,0.1931858649151282,0.5605856773704354
0.054,0.3344365756948288,0.1931844613404891,0.5605949708428885
0.056,0.3344212624533685,0.1931830175737033,0.560604603566944
0.058,0.3344054037138439,0.193181534755432,0.5606145745489975
0.06,0.3343890003773195,0.1931800140258614,0.5606248827940675
0.062,0.3343720533440456,0.1931784565247071,0.5606355273058024
0.064,0.3343545635134663,0.1931768633912176,0.5606465070864949
0.066,0.3343365338860903,0.1931752386765143,0.5606578188802361
0.068,0.3343179656137928,0.1931735838707722,0.5606694614143107
0.07000000000000001,0.3342988588672852,0.1931718991053176,0.5606814344673031
0.07199999999999999,0.3342792147522314,0.1931701858075692,0.5606937368117622
0.074,0.3342590343735488,0.1931684454045128,0.5607063672189779
0.076,0.3342383188354151,0.1931666793227058,0.5607193244589942
0.078,0.3342170692412769,0.1931648889882812,0.5607326073006217
0.08,0.3341952878587323,0.1931630776198381,0.5607462131995975
0.082,0.3341729789080297,0.1931612514418415,0.5607601374111678
0.08400000000000001,0.3341501411587836,0.1931594082901946,0.5607743813270926
0.08599999999999999,0.3341267759375413,0.1931575499369412,0.5607889434574996
0.08799999999999999,0.3341028845701918,0.1931556781537433,0.5608038223114044
0.09,0.3340784683819757,0.1931537947118855,0.5608190163967236
0.092,0.3340535286974924,0.1931519013822802,0.5608345242202911
0.094,0.3340280668407098,0.1931499999354722,0.5608503442878697
0.096,0.3340020894481636,0.1931481007084713,0.5608664689899086
0.098,0.3339755953038838,0.193146201377296,0.5608828997528577
0.1,0.3339485855029796,0.1931443033450857,0.5608996353414196
0.102,0.3339210616420316,0.1931424088241213,0.5609166739416037
0.104,0.3338930253170814,0.1931405200263692,0.5609340137385033
0.106,0.3338644781236417,0.1931386391634871,0.560951652916311
0.108,0.3338354216567054,0.1931367684468297,0.5609695896583361
0.11,0.333805857510757,0.1931349100874542,0.5609878221470194
0.112,0.3337757895000424,0.1931330698574903,0.561006346016943
0.114,0.3337452180179098,0.1931312480421261,0.5610251608262371
0.116,0.3337141446039211,0.1931294467656947,0.5610442648164996
0.118,0.3336825709504099,0.1931276683980456,0.5610636560527654
0.12,0.3336504987492678,0.1931259153087687,0.5610833325993133
0.122,0.333617929691955,0.1931241898672011,0.5611032925196817
0.124,0.3335848654695097,0.1931224944424318,0.5611235338766843
0.126,0.3335513077725576,0.1931208314033072,0.5611440547324267
0.128,0.3335172624433819,0.1931192094776186,0.5611648484921776
0.13,0.3334827287547881,0.1931176273314794,0.5611859159283642
0.132,0.333447708387769,0.1931160873198706,0.5612072551111988
0.134,0.3334122032055814,0.1931145920772497,0.5612288639055144
0.136,0.333376215071154,0.1931131442378793,0.561250740175573
0.138,0.3333397458470965,0.1931117464358336,0.5612728817850834
0.14,0.3333027973957104,0.1931104013050028,0.5612952865972167
0.142,0.3332653715789979,0.1931091114790997,0.561317952474622
0.144,0.3332274746240526,0.1931078860889836,0.5613408724528773
0.146,0.3331891057002702,0.1931067237608242,0.5613640473714464
0.148,0.3331502667582764,0.193105627260756,0.5613874749933025
0.15,0.3331109598363524,0.1931045994855805,0.5614111529838484
0.152,0.333071186972568,0.1931036433319706,0.5614350790081079
0.154,0.3330309502047891,0.1931027616964762,0.5614592507307418
0.156,0.3329902515706882,0.1931019574755291,0.5614836658160639
0.158,0.3329490931177587,0.1931012335798196,0.561508321917183
0.16,0.3329074808911429,0.1931005986624379,0.561533212342029
0.162,0.3328654143357258,0.1931000518955383,0.5615583375725828
0.164,0.3328228956474968,0.1930995964033158,0.5615836950997853
0.166,0.3327799270223344,0.1930992353098948,0.5616092824143671
