Part number;Mat;Fdn;d (mm);D (mm);Dd (mm);De (mm);Detol (mm);Dh (mm);Fn (N);Fntol (N);Lk (mm);L0 (mm);L0tol (mm);Ln (mm);sn (mm);S (mm);n (pc.);R (N/mm);Fndyn (N);Fndtol (N);Lndyn (mm);shdyn (mm);Gew (g);PG
D-001;EN 10270-1;Closed;0.2;2.9;2.3;3.1;0.25;3.4;0.46;0.1; ;7.5;0.96;2.68;4.82;1;7;0.095;0.433;0.1;2.97;4.53;0.0204;A
D-002;EN 10270-1;Closed;0.2;2.5;2;2.7;0.15;3.1;1.122;0.13; ;5.4;0.38;1.63;3.77;1.4;3.5;0.298;1.088;0.13;1.75;1.25;0.0107;A
D-003;EN 10270-1;Closed;0.2;2.5;2;2.7;0.15;3.1;1.144;0.12; ;8.2;0.53;2.17;6.03;1.4;5.5;0.19;1.11;0.12;2.35;1.92;0.0146;A
D-004;EN 10270-1;Closed;0.2;2.5;2;2.7;0.15;3.1;1.194;0.11; ;12.7;0.75;2.97;9.73;1.435;8.5;0.123;1.16;0.11;3.25;2.83;0.0205;A
D-005;EN 10270-1;Closed;0.2;2.5;2;2.7;0.15;3.1;1.232;0.1;14.53;18.8;1.03;4.04;14.76;1.464;12.5;0.083;1.198;0.1;4.45;4.04;0.0283;A
D-006;EN 10270-1;Closed;0.2;2.5;2;2.7;0.15;3.1;1.109;0.1;22.3;25.3;1.46;5.64;19.66;1.341;18.5;0.056;1.074;0.1;6.26;6.74;0.04;A
D-006A;EN 10270-1;Closed;0.2;2.3;1.9;2.5;0.15;2.9;1.092;0.13; ;5;0.34;1.74;3.26;1.125;4;0.335;1.052;0.12;1.86;1.32;0.0108;C
D-006B;EN 10270-1;Closed;0.2;2.3;1.9;2.5;0.15;2.9;1.157;0.12; ;8;0.48;2.39;5.61;1.154;6.5;0.206;1.117;0.12;2.58;2.07;0.0153;C
D-006C;EN 10270-1;Closed;0.2;2.3;1.9;2.5;0.15;2.9;1.118;0.11; ;10;0.6;2.91;7.09;1.118;8.5;0.158;1.078;0.11;3.16;2.75;0.0188;C
D-006D;EN 10270-1;Closed;0.2;2.3;1.9;2.5;0.15;2.9;1.185;0.11;10.18;15;0.83;3.95;11.05;1.16;12.5;0.107;1.145;0.11;4.32;3.84;0.026;C
D-006E;EN 10270-1;Closed;0.2;2.3;1.9;2.5;0.15;2.9;1.219;0.1;16.77;20;1.06;4.98;15.02;1.182;16.5;0.081;1.179;0.1;5.48;4.93;0.0332;C
D-007;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.295;0.15; ;3.8;0.22;1.58;2.23;0.943;3.5;0.582;1.246;0.15;1.66;0.83;0.0086;A
D-007A;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;0.713;0.12; ;4;0.3;2.08;1.93;0.636;5.5;0.37;0.663;0.12;2.21;1.79;0.0117;A
D-008;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.269;0.13; ;5.5;0.3;2.08;3.43;0.909;5.5;0.37;1.219;0.12;2.21;1.33;0.0117;A
D-008A;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.417;0.13; ;5.9;0.3;2.08;3.83;0.982;5.5;0.37;1.367;0.13;2.21;1.19;0.0117;A
D-009;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.336;0.12; ;8.4;0.43;2.83;5.58;0.929;8.5;0.24;1.285;0.12;3.04;1.95;0.0164;A
D-009A;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.408;0.12; ;8.7;0.43;2.83;5.88;0.965;8.5;0.24;1.357;0.12;3.04;1.85;0.0164;A
D-010;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.316;0.12;6.95;11.9;0.59;3.83;8.08;0.912;12.5;0.163;1.265;0.12;4.14;2.91;0.0226;A
D-010A;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.43;0.12;8.15;12.6;0.59;3.83;8.78;0.968;12.5;0.163;1.379;0.12;4.14;2.67;0.0226;A
D-011;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.374;0.11;15.07;17.8;0.84;5.33;12.48;0.935;18.5;0.11;1.323;0.11;5.79;4.14;0.032;A
D-011A;EN 10270-1;Closed;0.2;2;1.5;2.2;0.15;2.6;1.429;0.11;15.66;18.3;0.84;5.33;12.98;0.962;18.5;0.11;1.378;0.11;5.79;3.96;0.032;A
D-011B;EN 10270-1;Closed;0.2;1.8;1.3;2;0.15;2.4;0.994;0.16; ;2.8;0.18;1.56;1.24;0.657;3.5;0.799;0.934;0.15;1.63;0.85;0.0077;C
D-011C;EN 10270-1;Closed;0.2;1.8;1.3;2;0.15;2.4;1.197;0.14; ;4.4;0.24;2.04;2.36;0.709;5.5;0.508;1.133;0.14;2.17;1.19;0.0105;C
D-011D;EN 10270-1;Closed;0.2;1.8;1.3;2;0.15;2.4;1.323;0.13; ;6.8;0.34;2.78;4.02;0.741;8.5;0.329;1.263;0.13;2.96;1.71;0.0147;C
D-011E;EN 10270-1;Closed;0.2;1.8;1.3;2;0.15;2.4;1.397;0.13;4.79;10;0.48;3.75;6.25;0.76;12.5;0.224;1.335;0.13;4.03;2.4;0.0204;C
